"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","274.90","277.60","277.75","271.85","549.07K","-0.49%"
"11/13/2025","276.25","283.00","284.55","275.25","753.46K","-1.39%"
"11/12/2025","280.15","301.50","307.00","275.60","2.87M","-6.66%"
"11/11/2025","300.15","304.20","314.50","294.05","2.66M","-1.40%"
"11/10/2025","304.40","302.35","309.20","301.05","607.32K","1.11%"
"11/07/2025","301.05","294.00","305.00","293.90","305.61K","2.05%"
"11/06/2025","295.00","300.10","302.00","293.90","212.82K","-2.67%"
"11/04/2025","303.10","305.45","306.40","298.80","454.39K","-0.77%"
"11/03/2025","305.45","296.80","307.10","294.50","849.49K","3.75%"
"10/31/2025","294.40","289.50","297.40","286.60","391.93K","1.62%"
"10/30/2025","289.70","291.45","296.70","287.05","286.45K","-1.78%"
"10/29/2025","294.95","278.00","298.00","278.00","1.00M","4.98%"
"10/28/2025","280.95","277.75","281.50","274.15","334.52K","1.12%"
"10/27/2025","277.85","264.80","280.05","264.30","683.16K","4.93%"
"10/24/2025","264.80","268.70","273.05","259.60","773.05K","-1.45%"
"10/23/2025","268.70","279.60","280.55","267.25","497.90K","-3.45%"
"10/21/2025","278.30","276.70","279.10","275.85","19.95K","0.60%"
"10/20/2025","276.65","278.15","279.95","269.20","425.15K","-0.54%"
"10/17/2025","278.15","280.45","282.15","274.95","152.52K","-0.82%"
"10/16/2025","280.45","278.70","281.95","277.10","153.99K","0.81%"
"10/15/2025","278.20","281.05","281.80","277.05","173.17K","-0.82%"
"10/14/2025","280.50","281.45","282.40","275.10","231.94K","-0.34%"
"10/13/2025","281.45","284.40","287.20","279.95","189.33K","-2.34%"
"10/10/2025","288.20","288.55","291.55","286.35","135.28K","-0.38%"
"10/09/2025","289.30","285.60","291.50","282.90","262.27K","0.64%"
"10/08/2025","287.45","290.50","293.45","286.00","146.35K","-1.08%"
"10/07/2025","290.60","288.60","297.30","285.30","304.52K","0.66%"
"10/06/2025","288.70","294.00","294.25","285.70","187.37K","-1.80%"
"10/03/2025","294.00","285.10","295.00","285.10","257.12K","2.51%"
"10/01/2025","286.80","285.20","288.90","283.75","192.45K","0.17%"
"09/30/2025","286.30","284.20","288.05","283.50","95.38K","0.49%"
"09/29/2025","284.90","290.20","293.00","283.80","226.56K","-0.78%"
"09/26/2025","287.15","284.40","290.15","276.90","321.15K","0.56%"
"09/25/2025","285.55","290.35","292.20","284.45","107.15K","-1.72%"
"09/24/2025","290.55","284.50","293.00","281.45","294.11K","2.13%"
"09/23/2025","284.50","286.20","287.70","283.55","113.45K","-0.59%"
"09/22/2025","286.20","290.80","291.90","284.30","161.74K","-1.99%"
"09/19/2025","292.00","289.00","295.00","288.15","198.90K","1.07%"
"09/18/2025","288.90","298.00","298.85","285.95","553.47K","-2.86%"
"09/17/2025","297.40","295.00","302.80","295.00","1.54M","0.85%"
"09/16/2025","294.90","298.90","300.00","289.15","363.66K","-0.91%"
"09/15/2025","297.60","293.00","302.95","292.75","232.86K","1.60%"
"09/12/2025","292.90","295.70","298.55","291.65","122.57K","-1.00%"
"09/11/2025","295.85","298.05","301.90","291.95","386.41K","-0.55%"
"09/10/2025","297.50","297.60","302.70","294.20","261.30K","0.07%"
"09/09/2025","297.30","299.00","300.00","291.25","223.80K","-0.52%"
"09/08/2025","298.85","295.00","303.45","295.00","186.17K","1.22%"
"09/05/2025","295.25","294.10","298.90","291.20","245.78K","-0.05%"
"09/04/2025","295.40","309.00","309.95","293.40","471.43K","-4.29%"
"09/03/2025","308.65","292.00","310.90","290.60","748.27K","6.03%"
"09/02/2025","291.10","288.00","294.00","284.20","203.91K","2.23%"
"09/01/2025","284.75","282.70","287.00","281.55","148.51K","0.26%"
"08/29/2025","284.00","281.80","287.45","278.40","243.54K","1.09%"
"08/28/2025","280.95","279.20","282.05","276.65","246.19K","-0.21%"
"08/26/2025","281.55","290.00","290.00","280.00","323.38K","-3.31%"
"08/25/2025","291.20","296.70","298.70","288.55","350.05K","-1.72%"
"08/22/2025","296.30","297.00","302.75","293.80","369.25K","-0.95%"
"08/21/2025","299.15","282.10","306.65","282.10","1.89M","6.40%"
"08/20/2025","281.15","280.00","284.00","277.10","596.18K","0.36%"
"08/19/2025","280.15","269.80","285.50","269.80","905.09K","4.01%"
"08/18/2025","269.35","261.80","276.30","261.80","908.85K","-0.31%"
"08/14/2025","270.20","299.05","301.70","266.30","1.94M","-10.13%"
"08/13/2025","300.65","316.70","320.15","295.15","679.11K","-5.04%"
"08/12/2025","316.60","321.05","326.00","312.55","289.39K","-1.28%"
"08/11/2025","320.70","314.30","323.00","310.40","553.87K","2.41%"
"08/08/2025","313.15","316.05","320.70","310.80","475.93K","-1.07%"
"08/07/2025","316.55","319.00","322.10","308.75","298.69K","-1.36%"
"08/06/2025","320.90","322.40","327.95","316.75","170.00K","-0.47%"
"08/05/2025","322.40","324.00","328.50","319.00","170.73K","-1.16%"
"08/04/2025","326.20","318.75","327.00","318.10","141.97K","2.34%"
"08/01/2025","318.75","330.55","333.80","316.00","217.56K","-3.57%"
"07/31/2025","330.55","336.40","340.95","327.00","180.36K","-1.75%"
"07/30/2025","336.45","340.40","344.40","334.80","164.07K","-1.29%"
"07/29/2025","340.85","333.00","341.85","332.45","173.02K","1.61%"
"07/28/2025","335.45","337.00","340.95","333.00","275.00K","-0.52%"
"07/25/2025","337.20","349.00","350.90","335.35","377.60K","-2.94%"
"07/24/2025","347.40","344.85","351.20","341.35","637.93K","1.49%"
"07/23/2025","342.30","327.05","345.80","325.35","825.39K","4.52%"
"07/22/2025","327.50","326.10","329.00","322.25","208.16K","0.48%"
"07/21/2025","325.95","324.55","328.75","323.00","156.45K","0.08%"
"07/18/2025","325.70","329.95","330.00","322.05","154.02K","-1.33%"
"07/17/2025","330.10","330.10","333.10","325.30","178.74K","-0.62%"
"07/16/2025","332.15","319.45","333.30","316.45","390.88K","4.29%"
"07/15/2025","318.50","317.25","321.95","312.85","378.31K","0.68%"
"07/14/2025","316.35","326.00","326.95","315.35","431.85K","-3.29%"
"07/11/2025","327.10","331.80","334.20","326.00","124.39K","-1.67%"
"07/10/2025","332.65","328.40","333.70","327.35","143.95K","0.97%"
"07/09/2025","329.45","335.15","337.65","326.70","351.71K","-1.77%"
"07/08/2025","335.40","338.25","343.60","332.95","196.48K","-1.41%"
"07/07/2025","340.20","335.00","341.55","333.40","226.04K","1.34%"
"07/04/2025","335.70","337.75","341.50","333.65","254.07K","-0.87%"
"07/03/2025","338.65","343.60","345.85","337.65","210.16K","-0.99%"
"07/02/2025","342.05","344.80","344.80","335.55","319.11K","-0.52%"
"07/01/2025","343.85","347.50","348.25","341.00","268.79K","-0.96%"
"06/30/2025","347.20","344.50","350.80","344.50","282.51K","0.70%"
"06/27/2025","344.80","346.00","347.55","339.50","605.40K","1.97%"
"06/26/2025","338.15","345.25","348.65","333.95","507.21K","-1.56%"
"06/25/2025","343.50","336.95","359.00","336.95","1.30M","2.75%"
"06/24/2025","334.30","336.00","341.85","330.10","358.92K","0.91%"
"06/23/2025","331.30","343.85","344.95","329.35","444.78K","-4.30%"
"06/20/2025","346.20","331.00","349.80","330.95","874.70K","5.08%"
"06/19/2025","329.45","341.00","343.40","328.00","228.20K","-3.20%"
"06/18/2025","340.35","337.75","342.65","335.15","227.01K","0.71%"
"06/17/2025","337.95","344.00","347.60","336.55","358.46K","-1.86%"
"06/16/2025","344.35","336.00","345.00","335.55","492.49K","2.20%"
"06/13/2025","336.95","335.10","341.20","334.65","300.21K","-1.99%"
"06/12/2025","343.80","343.00","347.10","338.20","640.09K","0.15%"
"06/11/2025","343.30","345.70","349.50","339.15","300.08K","-0.41%"
"06/10/2025","344.70","341.30","348.45","340.55","490.56K","1.03%"
"06/09/2025","341.20","337.90","342.00","334.45","202.20K","1.64%"
"06/06/2025","335.70","340.15","344.90","334.35","352.74K","-1.31%"
"06/05/2025","340.15","333.40","344.10","333.40","608.97K","2.13%"
"06/04/2025","333.05","335.80","339.95","331.55","266.57K","-0.77%"
"06/03/2025","335.65","332.30","341.50","331.00","443.92K","1.10%"
"06/02/2025","332.00","330.25","335.00","327.50","239.74K","0.53%"
"05/30/2025","330.25","333.00","335.90","325.40","292.90K","-0.90%"
"05/29/2025","333.25","331.50","340.00","330.65","454.49K","0.69%"
"05/28/2025","330.95","324.40","333.30","324.10","409.21K","2.02%"
"05/27/2025","324.40","320.05","325.85","317.45","395.57K","1.36%"
"05/26/2025","320.05","329.00","330.20","317.70","518.51K","-2.08%"
"05/23/2025","326.85","318.00","329.00","314.35","1.63M","5.03%"
"05/22/2025","311.20","294.60","317.25","294.60","1.80M","4.57%"
"05/21/2025","297.60","294.45","301.90","294.00","502.36K","0.24%"
"05/20/2025","296.90","293.80","299.50","292.00","735.94K","1.06%"
"05/19/2025","293.80","292.45","299.00","289.15","812.92K","0.46%"
"05/16/2025","292.45","283.65","293.80","283.00","819.38K","3.10%"
"05/15/2025","283.65","296.00","297.85","272.90","1.97M","-2.63%"
"05/14/2025","291.30","286.60","303.00","284.60","3.21M","2.75%"
"05/13/2025","283.50","282.45","289.90","279.50","478.54K","1.16%"
"05/12/2025","280.25","270.60","281.50","270.60","526.98K","6.64%"
"05/09/2025","262.80","254.30","264.00","253.50","361.12K","0.71%"
"05/08/2025","260.95","258.40","278.00","257.15","1.52M","1.24%"
"05/07/2025","257.75","248.25","261.75","247.00","375.79K","2.63%"
"05/06/2025","251.15","259.00","262.50","249.95","390.41K","-2.81%"
"05/05/2025","258.40","264.70","264.70","257.00","275.94K","-1.67%"
"05/02/2025","262.80","252.00","265.30","250.45","417.01K","2.54%"
"04/30/2025","256.29","264.50","265.50","255.02","555.98K","-3.28%"
"04/29/2025","264.99","264.01","268.79","258.41","347.63K","-0.32%"
"04/28/2025","265.85","267.00","267.70","260.66","323.56K","0.04%"
"04/25/2025","265.74","279.44","283.00","261.99","880.49K","-3.48%"
"04/24/2025","275.33","269.00","279.47","266.54","718.38K","1.99%"
"04/23/2025","269.95","271.05","275.00","264.10","585.08K","0.39%"
"04/22/2025","268.91","262.00","271.00","259.83","595.48K","4.15%"
"04/21/2025","258.19","261.50","264.00","257.00","427.73K","-0.62%"
"04/17/2025","259.81","257.00","261.82","256.04","398.75K","1.16%"
"04/16/2025","256.84","257.76","262.34","256.05","383.03K","-0.36%"
"04/15/2025","257.76","250.00","262.00","250.00","542.16K","4.15%"
"04/11/2025","247.48","247.00","249.90","243.03","366.95K","3.50%"
"04/09/2025","239.10","242.00","245.28","237.08","286.76K","-2.99%"
"04/08/2025","246.48","247.00","251.59","241.52","538.33K","2.39%"
"04/07/2025","240.73","225.20","243.90","225.20","618.44K","-4.77%"
"04/04/2025","252.80","270.00","272.00","250.00","1.08M","-3.99%"
"04/03/2025","263.30","254.05","269.50","253.10","795.85K","2.22%"
"04/02/2025","257.57","256.35","261.10","250.38","371.57K","-0.06%"
"04/01/2025","257.72","243.00","263.00","242.00","1.03M","5.46%"
"03/28/2025","244.37","249.74","254.86","242.99","288.93K","-2.04%"
"03/27/2025","249.45","243.00","252.96","243.00","622.30K","2.31%"
"03/26/2025","243.81","250.25","255.71","243.11","515.99K","-3.39%"
"03/25/2025","252.37","260.25","261.40","250.00","476.39K","-2.80%"
"03/24/2025","259.64","250.00","264.40","249.50","1.05M","4.18%"
"03/21/2025","249.22","246.45","252.00","245.41","348.88K","0.63%"
"03/20/2025","247.65","244.75","252.10","243.49","624.20K","1.30%"
"03/19/2025","244.48","239.00","246.00","239.00","474.73K","2.72%"
"03/18/2025","238.00","231.00","239.90","230.31","616.88K","3.55%"
"03/17/2025","229.84","236.40","238.29","228.60","265.70K","-2.77%"
"03/13/2025","236.40","237.00","239.45","234.00","199.01K","-0.23%"
"03/12/2025","236.95","241.94","244.88","235.50","302.86K","-1.78%"
"03/11/2025","241.24","235.00","243.95","231.05","1.07M","1.57%"
"03/10/2025","237.51","242.00","246.30","236.30","955.52K","-2.77%"
"03/07/2025","244.28","251.01","254.68","242.11","329.76K","-2.65%"
"03/06/2025","250.94","243.50","253.40","243.50","461.16K","3.05%"
"03/05/2025","243.51","230.45","244.80","230.45","599.47K","4.09%"
"03/04/2025","233.94","225.44","235.52","221.87","722.86K","3.67%"
"03/03/2025","225.65","213.80","233.00","213.22","986.51K","5.54%"
"02/28/2025","213.80","224.00","226.40","212.55","1.09M","-5.71%"
"02/27/2025","226.75","224.60","228.85","220.40","315.91K","0.91%"
"02/25/2025","224.70","227.50","232.00","222.10","336.19K","-2.52%"
"02/24/2025","230.50","232.60","239.30","226.15","569.22K","-1.75%"
"02/21/2025","234.60","233.30","240.60","231.70","242.75K","1.01%"
"02/20/2025","232.25","229.50","237.95","228.10","454.55K","1.04%"
"02/19/2025","229.85","221.40","231.00","220.50","399.20K","2.27%"
"02/18/2025","224.75","231.00","231.00","219.50","304.74K","-2.71%"
"02/17/2025","231.00","222.20","232.25","219.00","568.70K","2.33%"
"02/14/2025","225.75","241.85","242.35","216.60","848.24K","-6.35%"
"02/13/2025","241.05","235.00","248.50","234.40","463.80K","2.88%"
"02/12/2025","234.30","237.50","241.35","226.90","688.15K","-2.68%"
"02/11/2025","240.75","255.05","256.80","239.00","403.80K","-6.78%"
"02/10/2025","258.25","255.30","267.10","255.30","301.03K","-4.49%"
"02/07/2025","270.40","255.00","272.00","253.10","1.00M","5.98%"
"02/06/2025","255.15","260.00","262.95","252.65","382.11K","-1.12%"
"02/05/2025","258.05","259.95","266.85","257.00","228.31K","-0.02%"
"02/04/2025","258.10","259.30","261.90","255.95","152.58K","0.19%"
"02/03/2025","257.60","269.00","269.00","255.50","225.11K","-4.66%"
"02/01/2025","270.20","261.05","274.80","258.10","225.65K","2.95%"
"01/31/2025","262.45","265.05","265.85","259.55","177.09K","-1.45%"
"01/30/2025","266.30","262.10","268.70","262.00","186.06K","1.22%"
"01/29/2025","263.10","265.00","271.75","261.15","214.66K","-0.77%"
"01/28/2025","265.15","275.00","275.65","261.50","652.92K","-3.76%"
"01/27/2025","275.50","277.25","280.95","270.35","383.03K","-2.11%"
"01/24/2025","281.45","281.00","286.85","277.00","302.11K","0.20%"
"01/23/2025","280.90","268.05","287.40","265.80","507.16K","3.83%"
"01/22/2025","270.55","268.00","272.80","262.15","284.95K","0.84%"
